iter	Logloss
0	0.6543824349
1	0.6309594626
2	0.6072088648
3	0.5921004813
4	0.5741315343
5	0.561220785
6	0.5491670179
7	0.538070664
8	0.5309512059
9	0.5236424666
10	0.5172730208
11	0.5109402169
12	0.5061350163
13	0.5020650085
14	0.499794846
15	0.4959606361
16	0.4936300698
17	0.4914264508
18	0.4895796592
19	0.4873229187
20	0.4854809532
21	0.4836850503
22	0.4825297377
23	0.4808473211
24	0.4790406444
25	0.4781514464
26	0.4777557326
27	0.4763506624
28	0.4754237778
29	0.4745331859
30	0.4735813406
31	0.4734746376
32	0.4720461136
33	0.4706060517
34	0.4693128028
35	0.4678474384
36	0.4671246156
37	0.4660290152
38	0.4660290119
39	0.4651072292
40	0.4650972076
41	0.4644756
42	0.4637383508
43	0.4637331046
44	0.4636976806
45	0.4625553803
46	0.4622955839
47	0.462202812
48	0.461795013
49	0.4611380222
50	0.4610259146
51	0.4610259082
52	0.4597921862
53	0.4595343629
54	0.459088156
55	0.4579264893
56	0.4579106503
57	0.4568657466
58	0.4562576665
59	0.4562576625
60	0.4545772118
61	0.453306165
62	0.4520265229
63	0.4510498563
64	0.4509294578
65	0.4507538961
66	0.4493896027
67	0.4492749399
68	0.4481986272
69	0.4481885121
70	0.4478918558
71	0.4474620271
72	0.4470700275
73	0.4470095451
74	0.4468927548
75	0.4461077355
76	0.4460446534
77	0.4458108678
78	0.4447542548
79	0.4445810496
80	0.4443587299
81	0.4428986773
82	0.4418540357
83	0.441319602
84	0.4412775334
85	0.4412775189
86	0.4411837513
87	0.441030416
88	0.4410304155
89	0.4402277829
90	0.4393417098
91	0.4384890398
92	0.4378595246
93	0.4373989092
94	0.437398904
95	0.4365749416
96	0.4357322143
97	0.4348773932
98	0.4341457538
99	0.4339184241
