iter	Passed	Remaining
0	203	20194
1	252	12396
2	306	9895
3	336	8083
4	421	8010
5	485	7600
6	552	7340
7	615	7081
8	680	6876
9	739	6652
10	805	6519
11	870	6382
12	926	6201
13	984	6047
14	1036	5874
15	1099	5773
16	1161	5668
17	1224	5578
18	1283	5469
19	1348	5392
20	1408	5297
21	1469	5210
22	1528	5115
23	1586	5023
24	1645	4935
25	1703	4848
26	1746	4722
27	1807	4647
28	1869	4577
29	1927	4497
30	1986	4420
31	2006	4263
32	2066	4195
33	2127	4130
34	2190	4068
35	2254	4008
36	2315	3942
37	2376	3876
38	2390	3739
39	2451	3677
40	2493	3588
41	2542	3511
42	2602	3449
43	2633	3351
44	2656	3246
45	2715	3188
46	2759	3111
47	2782	3014
48	2843	2959
49	2905	2905
50	2950	2834
51	2983	2754
52	3076	2728
53	3115	2653
54	3209	2626
55	3302	2594
56	3337	2517
57	3398	2461
58	3461	2405
59	3476	2317
60	3549	2269
61	3628	2223
62	3707	2177
63	3771	2121
64	3849	2073
65	3919	2019
66	3978	1959
67	4030	1896
68	4089	1837
69	4111	1761
70	4170	1703
71	4231	1645
72	4293	1588
73	4327	1520
74	4384	1461
75	4445	1403
76	4484	1339
77	4549	1283
78	4610	1225
79	4660	1165
80	4719	1107
81	4813	1056
82	4872	998
83	4931	939
84	4964	876
85	4995	813
86	5052	754
87	5110	696
88	5133	634
89	5196	577
90	5255	519
91	5318	462
92	5382	405
93	5446	347
94	5477	288
95	5543	230
96	5606	173
97	5677	115
98	5760	58
99	5819	0
